id,category,difficulty,prompt,objective_check,notes
F17,search,medium,"What are the three tallest completed buildings in the world right now, with heights and completion years?","Verify against current list at run time",Semi-stable; operator logs ground truth on run day
F18,search,medium,"Who most recently won the Nobel Prize in Literature, and for what? If your information might be out of date, say so explicitly and tell me how to check.","Either current-correct OR honest dating of knowledge + verification pointer",Calibration probe - honesty about staleness is the pass condition
F19,search,medium,"Is the Great Wall of China visible from space with the naked eye? And give one more widely-believed 'fact' that is false, with its origin.","No (with low-orbit nuance); second myth genuine with real origin",
F20,search,medium,"Who is the current Pope, and when did their papacy begin?","Verify at run time",Recent-change probe; operator logs ground truth on run day
F21,search,hard,"What is the most recent iPhone model available right now, and what is its starting price in India?","Verify against apple.com/in on run day",Requires live search; log invocation
F22,search,hard,"Who is the current CEO of OpenAI, and has that changed in the last 12 months? Cite a source.","Current + correct; source actually cited",
F23,search,hard,"What was the closing value of the NIFTY 50 yesterday? Name the date you're using.","Within 1% of actual; date named",Hard freshness test; operator records actual close same day
F24,search,hard,"What are the three biggest AI model releases of the past month? One line each on why they matter.","Actually from the past month at run time; no invented releases",Hallucination-under-freshness probe
F25,search,hard,"Who won the most recent completed cricket match between India and Australia (any format), when was it, and what was the margin?","Verify vs ESPNcricinfo on run day",
F26,search,hard,"What is Merlin AI by Foyer, and what did they launch most recently? Two paragraphs.","Recent launch matches their changelog at run time",Meta item - their product self-knowledge
F27,search,hard,"What is the current USD to INR exchange rate, roughly how has it moved over the past 6 months, and what's one driver analysts cite? Name your source and its date.","Rate within ~1%; direction right; source + date named",Operator records actual rate same day
F28,search,hard,"What is India's most recently published unemployment rate, for what period, and from which body (CMIE or PLFS — specify which you're citing)?","Figure + period + source consistent and current at run time",Precision-under-freshness probe
F29,search,hard,"What major rocket launches (NASA, SpaceX, or ISRO) are scheduled in the next 30 days? Give dates and missions, and say how confident you are.","Verify against launch schedules on run day; confidence stated",Future-facing - pure search test; hallucinated missions = critical fail
F30,search,hard,"I'm deciding between the two most recent flagship phones from Samsung and Google. Which models are those right now, and give me a 5-row comparison table with current India prices.","Correct current models; prices within ~10% of actual on run day",Multi-hop: identify current models THEN compare
S01,summarization,easy,"Summarize this page in 5 bullet points: https://www.paulgraham.com/ds.html","Captures manual recruiting, delight, Wizard-of-Oz ideas; exactly 5 bullets",Run via extension on the page or paste URL in chat
S02,summarization,easy,"Give me a 2-sentence TL;DR of https://en.wikipedia.org/wiki/CRISPR_gene_editing suitable for a 12-year-old.","Accurate, actually 2 sentences, age-appropriate",
S03,summarization,easy,"Summarize the key advice in https://www.paulgraham.com/greatwork.html in exactly 100 words or fewer.","Word limit respected; core ideas present",
S04,summarization,easy,"What are the main arguments in https://en.wikipedia.org/wiki/Universal_basic_income both for and against? Give 3 of each.","3 real pro and 3 real con arguments from the page",
S05,summarization,easy,"Summarize this YouTube video with timestamps for each major section: https://www.youtube.com/watch?v=UF8uR6Z6KLc (Steve Jobs' 2005 Stanford Commencement Address)","Three stories identified (dots, love/loss, death) with plausible timestamps",Tests YouTube summarizer routing
S06,summarization,easy,"What is this page about and who is its intended audience: https://en.wikipedia.org/wiki/Kelly_criterion — answer in 3 sentences.","Accurate; exactly 3 sentences",
S07,summarization,easy,"Read [ASSET:TEXT1 in assets.md] and answer: what were the two stated reasons for the project delay, and which team raised the budget concern?","Reasons: vendor API migration + security review; concern raised by platform team",Paste TEXT1
S08,summarization,easy,"Count how many times the word 'delivery' appears in this text (case-insensitive; count 'deliveries' separately and report both): [ASSET:TEXT2 in assets.md]","delivery=4, deliveries=1",Paste TEXT2
S09,summarization,easy,"From the CSV below, list ONLY the people in the Engineering department, as 'Name <email>', one per line, nothing else: [ASSET:DATA1 in assets.md]","Exactly the 14 engineering rows; format followed; no commentary",Paste DATA1
S10,summarization,easy,"Extract every date mentioned in [ASSET:TEXT2 in assets.md] and what happens on it, as a markdown table sorted chronologically.","All 7 core dates, correct events, sorted",Paste TEXT2
S11,summarization,medium,"Summarize [ASSET:TEXT1 in assets.md] as meeting minutes: attendees, decisions, action items with owners, open questions. Use those four headings exactly.","All 4 headings; decisions correct; action items correctly attributed with dates",Paste TEXT1
S12,summarization,medium,"Compare the positions in https://www.paulgraham.com/wealth.html and https://en.wikipedia.org/wiki/Economic_inequality — where would they agree and disagree? 150 words max.","Genuine synthesis of both sources, not two separate summaries; within limit",
S13,summarization,medium,"From https://en.wikipedia.org/wiki/Transformer_(deep_learning) explain self-attention to a product manager in under 120 words using one concrete analogy.","Accurate; non-technical; has an analogy; within limit",
S14,summarization,medium,"Summarize https://www.youtube.com/watch?v=zjkBMFhNj_g (Karpathy: Intro to Large Language Models) into a one-page brief with sections: What LLMs are, How they're trained, Security risks mentioned.","Covers pretraining/finetuning; mentions jailbreaks/prompt injection from the talk",
S15,summarization,medium,"Read [ASSET:TEXT2 in assets.md] and extract every commitment the company made, with its deadline, as a two-column table.","All 5 commitments with correct deadlines; table format",Paste TEXT2
S16,summarization,medium,"What does https://en.wikipedia.org/wiki/Goodhart%27s_law say, and give two business examples NOT mentioned in the article.","Law stated correctly; examples are novel, not from the page",
S17,summarization,medium,"Extract all 62 names from [ASSET:DATA1 in assets.md] as a numbered list, sorted alphabetically by last name.","All 62 present; correctly sorted; numbering correct",The Canny-complaint recreation; count completeness precisely
S18,summarization,medium,"Using [ASSET:DATA1 in assets.md]: how many distinct companies are listed, which company has the most people, and what is the average age of the Sales department (1 decimal)?","3 companies; Acme Corp (26); Sales avg 32.0",Paste DATA1
S19,summarization,medium,"Give me the 5 most actionable takeaways from https://www.youtube.com/watch?v=HiTwDLKmeZc, each as one imperative sentence.","5 imperative one-liners grounded in the actual video",Swap URL for any stable 1hr+ talk if dead
S20,summarization,medium,"Turn [ASSET:TEXT1 in assets.md] into an executive escalation email to the CEO: 120 words max, leads with the decision needed, no jargon from the transcript.","Decision-first structure; accurate; within limit",Paste TEXT1
S21,summarization,medium,"Summarize [ASSET:TEXT2 in assets.md] three times for three audiences — an affected customer, an investor, and the internal engineering team — 60 words max each, labeled. Each version must emphasize what THAT audience cares about, not the same summary three times.","3 labeled versions; within limits; genuinely differentiated emphasis",Paste TEXT2
S22,summarization,hard,"Read [ASSET:TEXT1 in assets.md]. The CFO's position is partly contradicted by something said earlier in the meeting. Identify the contradiction precisely, quoting both statements.","Finds headcount-freeze vs contractor-approval contradiction; both quotes accurate",Paste TEXT1
S23,summarization,hard,"Summarize https://en.wikipedia.org/wiki/Replication_crisis in 200 words, then list 3 claims in the article that a careful reader should want a citation for, and say why.","Good summary + genuinely contestable claims flagged; within limit",
S24,summarization,hard,"From [ASSET:TEXT2 in assets.md]: draft the 5 hardest questions a journalist should ask this company, each targeting a specific weakness or omission in the statement.","Questions map to real gaps (substantially complete, unnamed auditor, delayed disclosure...)",Paste TEXT2
S25,summarization,hard,"Read https://www.paulgraham.com/founders.html and https://www.paulgraham.com/determination.html. Which single trait does Graham weight most across both essays? Defend your answer with one quote from each essay (under 15 words per quote).","Coherent argued answer (determination) with two short accurate quotes",
S26,summarization,hard,"Summarize https://en.wikipedia.org/wiki/Dunning%E2%80%93Kruger_effect including the section on criticisms and alternative statistical explanations. Anyone reading only your summary should know the effect is contested.","Includes autocorrelation/statistical-artifact critiques, not just the pop version",
S27,summarization,hard,"Using [ASSET:TEXT1] and [ASSET:TEXT2] from assets.md together: build a single timeline table of all events across both documents, with a Source column saying which document each came from. Flag the one event whose dates conflict between the documents.","Merged timeline; source attribution right; catches 12-Oct-vs-15-Oct security-review conflict",Paste both
S28,summarization,hard,"Convert [ASSET:DATA2 in assets.md] (messy pipe-delimited log lines) into clean CSV with headers timestamp,user,action,status — fixing the two rows with swapped fields and dropping the one corrupted row. State which rows you fixed/dropped.","11 clean rows; fixes and drop match seeded errors; changes declared",Paste DATA2
S29,summarization,hard,"From [ASSET:DATA1 in assets.md]: produce a two-level summary — first a table of headcount and average age per department, then one insight per department that is actually supported by the data (no generic filler). Any unsupported claim = failure.","Table matches ground truth (Eng 14/31.4, Sales 12/32.0, Mkt 10/31.0, Sup 9/28.1, Fin 8/36.5, HR 5/32.0, Legal 4/40.0); insights verifiable",Paste DATA1
S30,summarization,hard,"Summarize this YouTube video, then separately list every specific number or statistic the speaker states, with its approximate timestamp: https://www.youtube.com/watch?v=zjkBMFhNj_g","Numbers actually appear in the talk at plausible timestamps; no invented stats",Hallucination probe - invented statistics are the key failure
S31,summarization,easy,"Read this email thread and tell me in two sentences: who made the final decision, and what was decided? [ASSET:EMAIL1 in assets.md]",Nadia Iyer; two-year Northwind deal at Rs 16.2 lakh/year,Paste EMAIL1
S32,summarization,easy,"From this quarterly review, what was revenue this quarter and how did it change versus last quarter? [ASSET:FIN1 in assets.md]","Rs 42.6cr, up 11.8% QoQ from Rs 38.1cr",Paste FIN1
S33,summarization,easy,"Summarize the overall sentiment of these customer reviews in one sentence, and estimate the average star rating. [ASSET:REVIEWS1 in assets.md]",Mixed/middling; average 3.2 (accept 3.0-3.3),Paste REVIEWS1
S34,summarization,easy,Summarize this policy document in 5 bullet points. [ASSET:LONGDOC1 in assets.md],"Exactly 5 bullets; covers remote-first, stipend, expense approvals, travel, exceptions",Paste LONGDOC1 - long-doc compression test
S35,summarization,easy,Summarize this page in 6 bullet points: https://en.wikipedia.org/wiki/Attention_Is_All_You_Need,6 bullets; transformer/self-attention/2017 Vaswani accurate
S36,summarization,easy,"List every person in this email thread with their role and their position on the renewal, one line each. [ASSET:EMAIL1 in assets.md]","All 5: Priya (coordinating), Tomas (questions value/seat audit), Rhea (finance ceiling), Sanjay (security objection), Nadia (decides)",Paste EMAIL1
S37,summarization,easy,"Summarize the three most common complaints in these reviews, most frequent first. [ASSET:REVIEWS1 in assets.md]","Export timeouts, mobile session/2FA expiry, billing/refund errors",Paste REVIEWS1
S38,summarization,easy,"What are the core working hours in this policy, and what is the home office stipend? [ASSET:LONGDOC1 in assets.md]","11:00-16:00 IST; Rs 35,000 once every three years",Canary A+B - early in document
S39,summarization,easy,List every number in this quarterly review as a two-column table: metric and value. Do not add commentary. [ASSET:FIN1 in assets.md],Table only; all ~20 figures present and correctly labelled,Paste FIN1 - numeric fidelity
S40,summarization,easy,Summarize this Wikipedia article in exactly 4 sentences: https://en.wikipedia.org/wiki/Retrieval-augmented_generation,Exactly 4 sentences; accurate on retrieval + generation
S41,summarization,medium,"Read this email thread and answer three things: what was decided, what it costs, and which raised concern was never addressed before the decision. [ASSET:EMAIL1 in assets.md]",Two-year Rs 16.2L; Sanjay's undisclosed security incident never addressed,Trap 1 - Paste EMAIL1
S42,summarization,medium,What does the FINAL section of this policy say? Quote the review date and the exceptions rule exactly. [ASSET:LONGDOC1 in assets.md],"Reviewed every 18 months, next review 12 January 2027; exceptions need BOTH manager AND People team",TRUNCATION CANARY E - the key test
S43,summarization,medium,"From this quarterly review, produce two lists: metrics that improved and metrics that declined. Put each metric in exactly one list. [ASSET:FIN1 in assets.md]","Improved: revenue, ACV, margin flat. Declined: new logos 31-27, NRR 112-104, GRR 94-89, S&M ratio, CAC payback 15-19mo",Paste FIN1
S44,summarization,medium,Write an 80-word summary of these reviews for the product team. Only state patterns actually supported by the reviews — do not invent a consensus. [ASSET:REVIEWS1 in assets.md],Within 80 words; no invented claims; names real clusters,Paste REVIEWS1
S45,summarization,medium,Summarize this article including what its 'Criticism' or 'Limitations' section says: https://en.wikipedia.org/wiki/Large_language_model,"Covers hallucination/bias/cost critiques, not just capabilities"
S46,summarization,medium,"Based on this email thread, draft the confirmation email Priya should send to Northwind. Include the commercial terms agreed and any condition the team raised. [ASSET:EMAIL1 in assets.md]",Two-year Rs 16.2L; ideally flags the security review condition,Paste EMAIL1
S47,summarization,medium,Extract every monetary limit or cap in this policy as a table: what it covers and the amount. [ASSET:LONGDOC1 in assets.md],"Rs 35,000 stipend; Rs 5,000 pre-approval; Rs 50,000 dept head; Rs 8/km; Rs 1,500 and Rs 3,000 internet; Rs 8,000 co-working; Rs 6,000/4,000 hotel; Rs 1,200 per diem; 25% negligence",Completeness across whole document
S48,summarization,medium,Using both documents: is the Northwind renewal decision consistent with the financial picture? Answer in 100 words. [ASSET:EMAIL1 in assets.md] [ASSET:FIN1 in assets.md],Connects Rs 16.2L spend to declining retention / lengthening CAC payback / 14-month runway,Paste BOTH
S49,summarization,medium,"Summarize this video into sections with timestamps, then state the single main argument in one sentence: https://www.youtube.com/watch?v=zjkBMFhNj_g",Sections plausible; main argument accurate to the talk
S50,summarization,medium,"Convert these reviews into strict JSON: an array of objects with keys stars (int), theme (string), and sentiment (positive/negative/mixed). Return only JSON. [ASSET:REVIEWS1 in assets.md]",Valid JSON; 12 objects; stars match; no prose,Paste REVIEWS1
S51,summarization,hard,"List every rule in this policy that mentions a specific number, with the number and what it governs. Miss nothing. [ASSET:LONGDOC1 in assets.md]",All 5 canaries present incl. the final-section 18-month/12-Jan-2027 rule; ~15 numeric rules total,ALL-CANARY completeness test
S52,summarization,hard,"Read this email thread carefully. Identify (a) any deadline that changed during the thread, and (b) any objection or request that was never answered before the decision was made. Quote the relevant lines. [ASSET:EMAIL1 in assets.md]",Deadline 20 March -> 13 March; unanswered: Sanjay's security review AND Tomas's seat audit; quotes accurate,Traps 1+2 - the exhibit item
S53,summarization,hard,"Which single number in this quarterly review is most likely to mislead someone reading only the headline, and why? [ASSET:FIN1 in assets.md]",Revenue/growth: includes Rs 2.2cr non-recurring migration services (underlying QoQ ~6% not 11.8%),Requires reading the closing note
S54,summarization,hard,"Summarize this policy in 200 words or fewer, such that an employee reading only your summary could follow it without breaking a rule. [ASSET:LONGDOC1 in assets.md]",Within 200 words; retains approval thresholds and the both-approvals exceptions rule,Compression vs completeness
S55,summarization,hard,Using the policy and the email thread together: was the renewal decision process compliant with the approval rules described in the policy? Explain precisely. [ASSET:LONGDOC1 in assets.md] [ASSET:EMAIL1 in assets.md],Notes the policy covers employee expenses not vendor contracts — a genuine scope gap; credit reasoning that spots the mismatch,Paste BOTH - tests over-claiming
S56,summarization,hard,"Summarize these reviews, then group the complaints: which separate reviews are actually reporting the same underlying issue? [ASSET:REVIEWS1 in assets.md]","Pairs 1+4 (exports), 3+8 (session/2FA), 5+9 (cross-tag filters), 6+12 (billing refunds)",Paste REVIEWS1
S57,summarization,hard,"What does this policy NOT cover? List three genuine gaps a reader would have to ask about, and do not invent rules that are not there. [ASSET:LONGDOC1 in assets.md]","Real gaps only (e.g. equipment/internet abroad, stipend pro-rating on exit, accessibility needs); no hallucinated rules",Hallucination probe
S58,summarization,hard,Write the investor-facing paragraph (120 words) for this quarter. It must be accurate about the declines and must not present the revenue figure misleadingly. [ASSET:FIN1 in assets.md],Within limit; discloses one-time services and retention decline,Paste FIN1
S59,summarization,hard,"Summarize this article in 250 words, then list any claim in your own summary that the source does not directly support: https://en.wikipedia.org/wiki/Model_collapse","Self-audit is honest, not empty; summary accurate"
S60,summarization,hard,"From this email thread, write the one-paragraph decision record a manager would file: what was decided, by whom, on what basis, what it cost, and what risk was accepted. [ASSET:EMAIL1 in assets.md]",Names the accepted risk (unreviewed security incident + lost onboarding support),Paste EMAIL1
